# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
13.716667,-0.402339,2.341132
13.733333,-0.409225,2.343570
13.750000,-0.416141,2.345924
13.766667,-0.423088,2.348191
13.783333,-0.430064,2.350366
13.800000,-0.437067,2.352446
13.816667,-0.444094,2.354428
13.833333,-0.451144,2.356307
13.850000,-0.458214,2.358081
13.866667,-0.465301,2.359746
13.883333,-0.472403,2.361298
13.900000,-0.479515,2.362734
13.916667,-0.486634,2.364051
13.933333,-0.493756,2.365244
13.950000,-0.500877,2.366311
13.966667,-0.507991,2.367247
13.983333,-0.515095,2.368050
14.000000,-0.522182,2.368716
14.016667,-0.529246,2.369239
14.033333,-0.536282,2.369619
14.050000,-0.543282,2.369850
14.066667,-0.550241,2.369929
14.083333,-0.557150,2.369852
14.100000,-0.564002,2.369615
14.116667,-0.570789,2.369214
14.133333,-0.577501,2.368647
14.150000,-0.584129,2.367908
14.166667,-0.590665,2.366995
14.183333,-0.597096,2.365903
14.200000,-0.603414,2.364629
14.216667,-0.609606,2.363170
14.233333,-0.615661,2.361521
14.250000,-0.621567,2.359681
14.266667,-0.627311,2.357645
14.283333,-0.632879,2.355411
14.300000,-0.638258,2.352977
14.316667,-0.643434,2.350340
14.333333,-0.648394,2.347500
14.350000,-0.653121,2.344455
